Loco Contigo (with J. Balvin & Tyga) - Cedric Gervais Remix,DJ Snake,63,2019-08-09,pop;dance pop,752
All Star - Breathe Carolina Remix,Smash Mouth,60,2019-08-23,pop;dance pop,748
Trampoline - Dave Audé Remix,SHAED,45,2019-12-27,pop;dance pop,607
Stay (Don't Go Away) [feat. Raye] - Mark Knight Remix,David Guetta,58,2019-07-11,pop;dance pop,607
With You - Dexter Remix,Kaskade,51,2019-09-12,pop;dance pop,679
Safety (feat. DJ Snake) - Dark Heart 2am Mix,GASHI,58,2019-11-15,pop;dance pop,714
Beautiful (feat. Camila Cabello) - Bazzi vs. EDX's Ibiza Sunrise Remix,Bazzi vs.,56,2018-09-28,pop;dance pop,0.69
Talk - Disclosure VIP,Khalid,60,2019-03-27,pop;dance pop,775
Spicy - Majestic Remix,Herve Pagez,48,2019-10-11,pop;dance pop,814
Don't Leave Me Lonely (feat. Yebba) - Claptone Remix,Mark Ronson,56,2019-10-04,pop;dance pop,784
Treehouse - R3HAB Remix,James Arthur,56,2019-09-13,pop;dance pop,367
Hearts Ain't Gonna Lie - Eden Prince Remix,Arlissa,65,2018-02-09,pop;dance pop,609
Call You Mine,The Chainsmokers,39,2019-05-31,pop;dance pop,591
Post Malone (feat. RANI),Sam Feldt,83,2019-05-24,pop;dance pop,0.59
Here With Me,Marshmello,83,2019-03-08,pop;dance pop,791
Easier - Seeb Remix,5 Seconds of Summer,71,2019-07-12,pop;dance pop,564
Sixteen,Ellie Goulding,81,2019-04-12,pop;dance pop,669
Never Really Over,Katy Perry,85,2019-05-31,pop;dance pop,0.77
All You Need To Know (feat. Calle Lehmann),Gryffin,76,2019-03-27,pop;dance pop,513
I Miss Myself (with HRVY),NOTD,71,2019-05-03,pop;dance pop,0.72
South of the Border (feat. Camila Cabello & Cardi B) - Sam Feldt Remix,Ed Sheeran,65,2019-10-04,pop;dance pop,789
Takeaway (feat. Lennon Stella),The Chainsmokers,67,2019-07-24,pop;dance pop,294
All the Time,Zara Larsson,74,2019-06-21,pop;dance pop,665
What I Like About You (feat. Theresa Rex),Jonas Blue,81,2019-03-22,pop;dance pop,0.46
With You,Kaskade,71,2019-06-14,pop;dance pop,362
Body Back (feat. Maia Wright),Gryffin,75,2019-10-18,pop;dance pop,686
Not Ok,Kygo,73,2019-05-23,pop;dance pop,618
Ruin My Life,Zara Larsson,79,2018-10-18,pop;dance pop,665
I Wanna Know (feat. Bea Miller),NOTD,74,2018-03-16,pop;dance pop,661
Better With You,3LAU,63,2019-03-01,pop;dance pop,571
"Carry On (from the Original Motion Picture ""POKÉMON Detective Pikachu"")",Kygo,79,2019-04-19,pop;dance pop,591
